,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,suicides_no,population,rate,per100k,GPI
105,Finland,2012,7.420209408,10.59445572,0.9277393820000001,70.87999725,0.920968115,-0.00570858,0.360733956,0.7962850929999999,0.201654434,0.5979415770000001,1.50073123,2.0591225619999998,873.0,5110450.0,0.0001708264438552378,17.082644385523782,1.348
106,Finland,2013,7.444635868,10.58223915,0.940869093,71.12000275,0.918625355,0.034851782000000005,0.305770457,0.7689573759999999,0.194672555,0.42059373899999997,1.47943902,2.041153908,887.0,5135433.0,0.00017272156018781668,17.27215601878167,1.297
107,Finland,2014,7.384571075,10.57176685,0.952016532,71.36000061,0.933043957,-0.005278334,0.265479892,0.7841095920000001,0.198813885,0.468558848,1.412057161,2.037089586,789.0,5159944.0,0.0001529086362177574,15.29086362177574,1.297
108,Finland,2015,7.447925568,10.56982231,0.947800577,71.59999847,0.9298619029999999,0.10706687,0.223369658,0.75131619,0.191057593,0.55760026,1.29203558,1.9970266819999998,731.0,5181797.0,0.00014107075209623225,14.107075209623225,1.277
109,France,2011,6.959185122999999,10.53051186,0.92128557,72.40000153,0.903366625,-0.106961221,0.626624525,0.780809402,0.28099477300000003,0.375089258,0.8868305679999999,1.374962091,10408.0,59344643.0,0.0001753823003029945,17.53823003029945,1.6969999999999998
110,France,2012,6.649365425,10.52749729,0.93709743,72.59999847,0.8413203359999999,-0.153478965,0.607905269,0.754119575,0.252988011,0.44062534,0.8965236540000001,1.3451526169999999,9743.0,59638457.0,0.00016336774105339447,16.336774105339448,1.71
111,France,2013,6.66712141,10.52809525,0.9076908229999999,72.80000305,0.8777957559999999,-0.12892994300000002,0.6990693809999999,0.8001360890000001,0.20496968899999998,0.395130515,0.833995342,1.3488167519999998,9600.0,59910069.0,0.00016024017598777928,16.024017598777927,1.863
112,France,2014,6.466867924,10.53272915,0.877504528,73.0,0.8034741879999999,-0.122516043,0.6556374429999999,0.8110544679999999,0.215893835,0.26380172399999996,0.759364009,1.317823052,8881.0,60275954.0,0.00014733902013396586,14.733902013396586,1.808
113,Georgia,2011,4.203030586000001,8.897694588,0.502937376,64.86000061,0.632464528,-0.238249794,0.35334640700000003,0.514920652,0.246770427,0.6573436260000001,-0.41482541,0.302998662,99.0,4202600.0,2.3556845762147243e-05,2.3556845762147245,2.5580000000000003
114,Georgia,2012,4.254445553,8.972251892000001,0.532586455,64.91999817,0.65872401,-0.252974212,0.320887595,0.559153914,0.25008785699999997,0.6108416320000001,-0.3294366,0.42155683,104.0,4200900.0,2.4756599776238425e-05,2.4756599776238426,2.541
115,Georgia,2013,4.348920822,9.018454552,0.5591657760000001,64.98000336,0.722127616,-0.238760307,0.34871360700000004,0.595041275,0.199907079,0.633562744,-0.151275828,0.451273233,157.0,4192600.0,3.7446930305776845e-05,3.7446930305776847,2.511
116,Georgia,2014,4.287508011,9.076712608,0.5584200020000001,65.04000092,0.71978116,-0.218929097,0.415525645,0.569884002,0.204327509,0.528196216,-0.018420786,0.600000978,194.0,3470600.0,5.589811559960814e-05,5.589811559960814,2.225
117,Georgia,2015,4.1219406130000005,9.107768059,0.517371595,65.09999847,0.639944971,-0.191066504,0.50241679,0.547279775,0.23319208600000002,0.254327297,-0.09576006199999999,0.56956923,192.0,3458400.0,5.551700208188758e-05,5.551700208188758,1.973
118,Germany,2011,6.621312141000001,10.6617794,0.947236657,70.98000336,0.906293273,0.028837385,0.677172124,0.7936662440000001,0.165199533,0.42458313700000005,1.095714569,1.617307305,10153.0,78371140.0,0.00012955024005010008,12.955024005010008,1.416
119,Germany,2012,6.7023620610000005,10.66480923,0.926406622,71.05999756,0.9044404629999999,0.066865228,0.67923671,0.803739309,0.169576168,0.5169281960000001,1.084679604,1.656006575,9896.0,78508115.0,0.00012605066367979922,12.605066367979921,1.4240000000000002
120,Germany,2013,6.965125083999999,10.66696453,0.931420565,71.13999939,0.894312978,0.020103833,0.56579423,0.743487358,0.204995915,0.557760656,1.167083979,1.6397185330000001,10091.0,77270988.0,0.00013059235116807358,13.059235116807358,1.431
121,Germany,2014,6.984214306,10.68190861,0.937558949,71.22000122,0.8986834290000001,0.083833963,0.473952919,0.785408497,0.187844872,0.601368845,1.180758357,1.782412052,10217.0,77552369.0,0.00013174323533559625,13.174323533559626,1.423
122,Germany,2015,7.037137508,10.69053364,0.9259232279999999,71.30000305,0.889428854,0.173545972,0.412168294,0.764539361,0.20270516,0.628003657,1.060863018,1.773268819,10088.0,78136683.0,0.00012910709301545344,12.910709301545344,1.379
123,Greece,2011,5.372039795,10.17127228,0.85155499,71.55999756,0.5281259420000001,-0.317883313,0.941152513,0.591371894,0.322790802,0.17515121399999997,0.360879898,0.370681077,477.0,10728724.0,4.4460086772667466e-05,4.446008677266747,1.947
124,Greece,2012,5.0963540080000005,10.10087299,0.81214112,71.62000275,0.37261042,-0.306134254,0.958908975,0.580687582,0.35150629299999997,0.126218989,0.241770923,0.271006763,508.0,10539802.0,4.8198248885510374e-05,4.819824888551038,1.976
125,Greece,2013,4.720251083,10.07517338,0.686650038,71.68000031,0.42596653100000004,-0.27318894899999996,0.941309869,0.689162374,0.48218315799999995,0.143608585,0.257947892,0.378082395,533.0,10431289.0,5.109627391207357e-05,5.109627391207357,1.957
126,Greece,2014,4.75623703,10.08920479,0.832333207,71.73999786,0.369156331,-0.28912001800000003,0.9302138090000001,0.6946759220000001,0.385433316,0.18829274199999999,0.23915565,0.24203392899999998,565.0,10380547.0,5.44287309714989e-05,5.44287309714989,2.052
127,Greece,2015,5.622519016,10.09288025,0.834824681,71.80000305,0.531736314,-0.27328527,0.8239596490000001,0.73975122,0.277412534,0.437318921,0.210621193,0.21409152399999998,529.0,10331286.0,5.1203693325303356e-05,5.120369332530336,1.878
128,Guatemala,2011,5.743353844,8.831199646,0.768112421,62.45999908,0.7629631159999999,0.006181439,0.8630393740000001,0.844493687,0.28935790100000003,0.355844259,-0.528053045,-0.598914325,359.0,13017342.0,2.7578594769961488e-05,2.7578594769961486,2.405
129,Guatemala,2012,5.855717182,8.839147568,0.802148998,62.81999969,0.865472019,0.017802276000000002,0.8209239840000001,0.8627834320000001,0.349404961,0.502455831,-0.49497941100000004,-0.665707707,420.0,13335425.0,3.149505921258602e-05,3.1495059212586023,2.287
130,Guatemala,2013,5.984601498,8.854383469,0.8296504020000001,63.18000031,0.88400501,0.042661797,0.8167698379999999,0.866773844,0.33252427,0.467045605,-0.5203495029999999,-0.653253078,455.0,13641878.0,3.335317908575344e-05,3.335317908575344,2.221
131,Guatemala,2014,6.536030769,8.874507904,0.833974659,63.54000092,0.843398929,0.10562703,0.804462552,0.8353680370000001,0.305114686,0.37320032700000005,-0.496581316,-0.654778361,512.0,13947190.0,3.6709903571973994e-05,3.6709903571973994,2.248
132,Guatemala,2015,6.464986801,8.894631386,0.822837472,63.90000153,0.868639767,0.049555305,0.821654916,0.8513708109999999,0.31055378899999997,0.272380829,-0.5007262229999999,-0.651932836,494.0,14258397.0,3.464625090744773e-05,3.4646250907447733,2.215
133,Hungary,2011,4.917602539,10.03632164,0.893662214,65.76000214,0.631100118,-0.09554869699999999,0.939908028,0.642114282,0.30451956399999996,0.35979417,0.790113568,0.717952192,2420.0,9495011.0,0.0002548706894599701,25.48706894599701,1.495
134,Hungary,2012,4.683358192,10.02491188,0.906113982,65.91999817,0.56923151,-0.142413616,0.930297315,0.65190798,0.315398008,0.209778264,0.712581217,0.64710778,2349.0,9453181.0,0.0002484877841649282,24.848778416492816,1.476
135,Hungary,2013,4.914466858,10.04841042,0.877318323,66.08000183,0.673728287,-0.11943166,0.911533177,0.705703676,0.306724131,0.32789593899999997,0.766919494,0.616362095,2092.0,9433840.0,0.0002217548739431663,22.17548739431663,1.52
136,Hungary,2014,5.18056345,10.09251308,0.844735265,66.23999786,0.494474709,-0.15642684699999998,0.855361402,0.650690138,0.237619638,0.308385164,0.6115855570000001,0.48798129,1925.0,9412788.0,0.0002045090147573705,20.45090147573705,1.482
137,Hungary,2015,5.34438324,10.12800789,0.858733833,66.40000153,0.557721376,-0.204279527,0.907530308,0.7068147659999999,0.244536385,0.279211909,0.653114259,0.4530572,1868.0,9389519.0,0.00019894522818474515,19.894522818474513,1.463
138,Hungary,2016,5.448901652999999,10.15285015,0.899511576,66.80000305,0.55395174,-0.19341144,0.924185812,0.66591078,0.24332577,0.30377233,0.527955234,0.394931078,1762.0,9355723.0,0.00018833392138694144,18.833392138694144,1.534
139,Iceland,2012,7.590660095,10.59492397,0.978965282,72.76000214,0.9046545029999999,0.239700317,0.7585856320000001,0.899718463,0.157153815,0.257335573,1.34399128,1.545394659,37.0,297238.0,0.00012447937343139167,12.447937343139166,1.113
140,Iceland,2013,7.501394272000001,10.62764359,0.967144907,72.83999634,0.9232077,0.304012835,0.712598741,0.869971037,0.15627557,0.456565946,1.363351345,1.551135063,49.0,300456.0,0.00016308544345927523,16.308544345927523,1.162
