country,year,Life Ladder,Log GDP per capita,Freedom to make life choices,Generosity,Confidence in national government,suicides_no,GPI
Qatar,2011,6.591604233,11.77027607,0.904687464,-0.022148103,,50,1.398
Qatar,2012,6.611298561,11.73848248,0.924333632,0.12791191,,43,1.395
Qatar,2015,6.374529362,11.6931572,,,,66,1.568
Romania,2011,5.02275753,9.798009872,0.650402188,-0.141889691,0.116410844,2536,1.742
Romania,2012,5.166874886,9.814766884,0.644536138,-0.113082878,0.236376286,2495,1.627
Romania,2013,5.081584454,9.853186607,0.654542148,-0.13090615,0.241623357,2407,1.584
Romania,2014,5.726893425,9.887231827,0.754235506,-0.102007471,0.243379444,2209,1.677
Romania,2015,5.777491093,9.930908203,0.795847714,-0.143028185,0.246008784,2228,1.542
Romania,2016,5.96887064,9.983716965,0.8217206,-0.117233559,0.181354657,1969,1.649
Russia,2011,5.388766289,10.09864521,0.625847578,-0.289872557,0.479574502,31038,2.966
Russia,2012,5.620735645,10.13286877,0.609104156,-0.303510815,0.452001721,29643,2.938
Russia,2013,5.537177563,10.14843559,0.661185563,-0.300293535,0.388303369,28690,3.06
Russia,2014,6.036976814,10.13794994,0.744332075,-0.27549237,0.640166044,26541,3.039
Russia,2015,5.995538712,10.10710335,0.685454726,-0.181272551,0.649233103,25432,2.954
Serbia,2011,4.815186501,9.470233917,0.440458298,-0.186329663,,1256,2.071
Serbia,2012,5.154521942,9.464881897,0.460574687,-0.131628886,0.223251179,1243,1.92
Serbia,2013,5.101840496,9.495140076,0.532839715,-0.100974515,0.340113223,1197,1.912
Serbia,2014,5.112728596,9.481352806,0.531597257,0.071065128,0.447972029,1134,1.849
Serbia,2015,5.317685127,9.493848801,0.545892,-0.062290821,0.388694555,1062,1.768
Singapore,2011,6.561041832,11.22675133,0.821816325,-0.159600928,0.825414777,308,1.585
Singapore,2013,6.53320694,11.27589321,0.827102542,0.103942573,0.856165767,357,1.438
Singapore,2014,7.062364578,11.30101299,0.834887624,0.143033519,0.843872547,355,1.545
Singapore,2015,6.619524956,11.31131172,0.886890888,0.139111534,0.90855819,329,1.49
Slovakia,2012,5.91105938,10.17421913,0.620004296,-0.038721785,0.368380159,571,1.59
Slovakia,2013,5.936527252,10.18794155,0.597935796,-0.062200695,0.283493221,616,1.622
Slovakia,2014,6.1388731,10.21410275,0.634791732,-0.137008578,0.310181499,554,1.467
Slovenia,2011,6.035964012,10.26829433,0.907440901,-0.027567947,0.181583047,435,1.358
Slovenia,2012,6.062891006,10.23913479,0.904386282,-0.022012195,0.238065988,440,1.33
Slovenia,2013,5.974888802,10.22639275,0.890059829,0.033471618,0.163433194,446,1.374
Slovenia,2014,5.678395271,10.25476551,0.887747705,0.049876269,0.176851004,388,1.398
Slovenia,2015,5.740642071,10.27635193,0.896007299,0.005252473,0.202604815,422,1.378
South Africa,2011,4.930511475,9.402507782,0.835448027,-0.162118018,0.627495944,358,
South Africa,2012,5.133887768,9.410440445,0.590144992,-0.170939147,0.425877452,487,2.321
South Africa,2013,3.660727262,9.42057991,0.714169025,-0.085031547,0.510355353,587,2.292
South Africa,2014,4.828456402,9.424621582,0.794030964,-0.125209555,0.487997681,580,2.364
South Africa,2015,4.887325764,9.423648834,0.862449408,-0.135523975,0.5839957,482,2.376
South Korea,2011,6.946599007,10.34908676,0.68235606,-0.053439561,0.283037215,15906,1.829
South Korea,2012,6.003286839,10.36649513,0.61839807,,0.230812564,14159,1.734
South Korea,2013,5.958809853,10.39049339,0.641884267,-0.05462034,0.34858638,14426,1.822
South Korea,2014,5.801325321,10.41707993,0.623193622,-0.047908776,0.284103513,13834,1.849
South Korea,2015,5.780211449,10.43932724,0.61584878,-0.040622089,0.264757395,13510,1.701
Spain,2011,6.518249035,10.37562275,0.818650901,-0.12566027,0.308662713,3180,1.641
Spain,2012,6.290690422,10.34525871,0.754586101,-0.063267097,0.339146554,3539,1.548
Spain,2013,6.150027275,10.33133125,0.759356439,-0.105050765,0.184549659,3873,1.563
Spain,2014,6.456477642,10.34802628,0.738472342,-0.031811371,0.210619807,3911,1.548
Spain,2015,6.380663395,10.38254833,0.73200047,-0.075814046,0.277751327,3604,1.451
Sweden,2011,7.382232189,10.68636227,0.941115439,0.15554896,0.638707519,1112,1.401
Sweden,2012,7.560147762,10.67609787,0.944382191,0.125826225,0.626497209,1154,1.419
Sweden,2013,7.434010506,10.6799593,0.935910523,0.152734622,0.579855025,1230,1.319
Sweden,2014,7.239147663,10.69574738,0.945273399,0.195556939,0.563272059,1148,1.381
Sweden,2015,7.28892231,10.72939968,0.935072064,0.204892784,0.49930203,1182,1.36
Sweden,2016,7.368744373,10.74867249,0.918036401,0.138581902,0.485791326,1135,1.461
Switzerland,2012,7.776208878,10.93577576,0.945428014,0.13308765,0.769940197,1038,1.349
Switzerland,2014,7.492803574,10.95462418,0.949401438,0.054532632,0.75163132,1032,1.258
Switzerland,2015,7.572136879,10.95543003,0.927802444,0.103407413,0.787730038,1073,1.275
Thailand,2011,6.663609028,9.513044357,0.92688185,0.393531293,0.539867997,3873,2.247
Thailand,2012,6.300235271,9.578331947,0.846932828,0.373026192,0.702815235,3985,2.303
Thailand,2013,6.231024742,9.600452423,0.781081975,0.449315608,0.506152332,3961,2.378
Thailand,2014,6.985463619,9.606240273,0.899846315,0.545570731,0.720304966,3952,2.395
Thailand,2015,6.201762676,9.632480621,0.884916544,0.308959126,0.657713354,4205,2.303
Thailand,2016,6.07363987,9.661786079,0.924145699,0.348688185,0.645925045,4131,2.312
